5 Minutes,Flow,Start Point,End Point
05/01/2016 12:00,153,"100,200","100,150"
05/01/2016 12:05,134,"100,200","100,150"
05/01/2016 12:10,160,"100,200","100,150"
05/01/2016 12:15,166,"100,200","100,150"
05/01/2016 12:20,147,"100,200","100,150"
05/01/2016 12:25,161,"100,200","100,150"
05/01/2016 12:30,162,"100,200","100,150"
05/01/2016 12:35,187,"100,200","100,150"
05/01/2016 12:40,147,"100,200","100,150"
05/01/2016 12:45,176,"100,200","100,150"
05/01/2016 12:50,164,"100,200","100,150"
05/01/2016 12:55,159,"100,200","100,150"
05/01/2016 13:00,175,"100,200","100,150"
05/01/2016 13:05,168,"100,200","100,150"
05/01/2016 13:10,151,"100,200","100,150"
05/01/2016 13:15,181,"100,200","100,150"
05/01/2016 13:20,170,"100,200","100,150"
05/01/2016 13:25,157,"100,200","100,150"
05/01/2016 13:30,162,"100,200","100,150"
05/01/2016 13:35,153,"100,200","100,150"
05/01/2016 13:40,160,"100,200","100,150"
05/01/2016 13:45,162,"100,200","100,150"
05/01/2016 13:50,166,"100,200","100,150"
05/01/2016 13:55,159,"100,200","100,150"
05/01/2016 14:00,176,"100,200","100,150"
05/01/2016 14:05,165,"100,200","100,150"
05/01/2016 14:10,166,"100,200","100,150"
05/01/2016 14:15,152,"100,200","100,150"
05/01/2016 14:20,169,"100,200","100,150"
05/01/2016 14:25,160,"100,200","100,150"
05/01/2016 14:30,160,"100,200","100,150"
05/01/2016 14:35,147,"100,200","100,150"
05/01/2016 14:40,156,"100,200","100,150"
05/01/2016 14:45,153,"100,200","100,150"
05/01/2016 14:50,160,"100,200","100,150"
05/01/2016 14:55,183,"100,200","100,150"
05/01/2016 15:00,177,"100,200","100,150"
05/01/2016 15:05,163,"100,200","100,150"
05/01/2016 15:10,152,"100,200","100,150"
05/01/2016 15:15,177,"100,200","100,150"
05/01/2016 15:20,169,"100,200","100,150"
05/01/2016 15:25,162,"100,200","100,150"
05/01/2016 15:30,169,"100,200","100,150"
05/01/2016 15:35,172,"100,200","100,150"
05/01/2016 15:40,160,"100,200","100,150"
05/01/2016 15:45,163,"100,200","100,150"
05/01/2016 15:50,157,"100,200","100,150"
05/01/2016 15:55,140,"100,200","100,150"
05/01/2016 16:00,174,"100,200","100,150"
05/01/2016 16:05,138,"100,200","100,150"
05/01/2016 16:10,161,"100,200","100,150"
05/01/2016 16:15,162,"100,200","100,150"
05/01/2016 16:20,178,"100,200","100,150"
05/01/2016 16:25,172,"100,200","100,150"
05/01/2016 16:30,181,"100,200","100,150"
05/01/2016 16:35,192,"100,200","100,150"
05/01/2016 16:40,180,"100,200","100,150"
05/01/2016 16:45,200,"100,200","100,150"
05/01/2016 16:50,163,"100,200","100,150"
05/01/2016 16:55,177,"100,200","100,150"
05/01/2016 17:00,156,"100,200","100,150"
05/01/2016 17:05,158,"100,200","100,150"
05/01/2016 17:10,159,"100,200","100,150"
05/01/2016 17:15,181,"100,200","100,150"
05/01/2016 17:20,167,"100,200","100,150"
05/01/2016 17:25,149,"100,200","100,150"
05/01/2016 17:30,161,"100,200","100,150"
05/01/2016 17:35,152,"100,200","100,150"
05/01/2016 17:40,181,"100,200","100,150"
05/01/2016 17:45,180,"100,200","100,150"
05/01/2016 17:50,173,"100,200","100,150"
05/01/2016 17:55,189,"100,200","100,150"
05/01/2016 18:00,161,"100,200","100,150"
05/01/2016 18:05,177,"100,200","100,150"
05/01/2016 18:10,160,"100,200","100,150"
05/01/2016 18:15,197,"100,200","100,150"
05/01/2016 18:20,160,"100,200","100,150"
05/01/2016 18:25,165,"100,200","100,150"
05/01/2016 18:30,152,"100,200","100,150"
05/01/2016 18:35,137,"100,200","100,150"
05/01/2016 18:40,122,"100,200","100,150"
05/01/2016 18:45,152,"100,200","100,150"
05/01/2016 18:50,146,"100,200","100,150"
05/01/2016 18:55,149,"100,200","100,150"
05/01/2016 19:00,127,"100,200","100,150"
05/01/2016 19:05,140,"100,200","100,150"
05/01/2016 19:10,125,"100,200","100,150"
